questionText,optionA,optionB,optionC,optionD,correctAnswer,category,difficulty,marks
"Who was the first Tirthankara of Jainism?","Mahavira","Rishabhanatha","Parshvanatha","Neminatha",B,history,easy,10
"What is the core principle of Jainism?","Ahimsa (Non-violence)","Conquest","Wealth accumulation","Power",A,philosophy,easy,10
"How many Tirthankaras are there in Jainism?","12","24","36","48",B,history,easy,10
"Who was the last Tirthankara?","Rishabhanatha","Parshvanatha","Mahavira","Neminatha",C,history,easy,10
"What is 'Paryushana'?","A Jain temple","A holy festival of fasting and forgiveness","A sacred river","A type of prayer",B,festivals,easy,10
"Where is the Dilwara Temple located?","Varanasi","Mount Abu, Rajasthan","Delhi","Mumbai",B,geography,easy,10
"What does 'Jina' mean?","Teacher","Saint","Conqueror","Warrior",C,philosophy,easy,10
"Which language did Mahavira primarily preach in?","Sanskrit","Ardhamagadhi Prakrit","Pali","Hindi",B,history,easy,10
"What is the Jain symbol of non-violence?","Lotus","Swastika","Open palm with wheel","Trident",C,philosophy,easy,10
"How many main vows (Mahavratas) do Jain monks follow?","3","4","5","7",C,philosophy,easy,10
"What is 'Samayika'?","A festival","A meditation practice of equanimity","A scripture","A pilgrimage site",B,practices,easy,10
"What is the Jain holy text called?","Vedas","Agamas","Quran","Tripitaka",B,scriptures,easy,10
"Which hill is an important Jain pilgrimage in Karnataka?","Girnar","Shatrunjaya","Shravanabelagola","Parasnath",C,geography,easy,10
"What does 'Ahimsa' mean?","Truth","Non-violence","Non-stealing","Non-attachment",B,philosophy,easy,10
"What is 'Sallekhana'?","A type of fasting unto death","A prayer","A festival","A scripture",A,practices,medium,10
"What are the two main sects of Jainism?","Mahayana and Hinayana","Digambara and Shvetambara","Shaiva and Vaishnava","Theravada and Vajrayana",B,history,easy,10
"What does 'Digambara' literally mean?","White-clad","Sky-clad (naked)","Red-robed","Saffron-robed",B,history,easy,10
"What does 'Shvetambara' literally mean?","Sky-clad","Blue-robed","White-clad","Unclothed",C,history,easy,10
"What is 'Anekantavada'?","Non-violence","Many-sidedness of truth","Non-attachment","Non-stealing",B,philosophy,medium,10
"What is 'Aparigraha'?","Non-violence","Truthfulness","Non-possessiveness","Celibacy",C,philosophy,medium,10
"What is 'Satya' in Jain ethics?","Non-violence","Truthfulness","Non-stealing","Celibacy",B,philosophy,easy,10
"What is 'Asteya' in Jain ethics?","Non-violence","Truthfulness","Non-stealing","Non-attachment",C,philosophy,medium,10
"What is 'Brahmacharya' in Jain context?","Non-violence","Fasting","Celibacy or chastity","Meditation",C,philosophy,medium,10
"What is the Jain concept of 'Karma'?","Divine punishment","Fine particles of matter binding to the soul","Fate decided by God","Reincarnation only",B,philosophy,medium,10
"What is 'Moksha' in Jainism?","Heaven","Liberation from the cycle of birth and death","Nirvana","Power",B,philosophy,easy,10
"What is 'Tattvartha Sutra'?","A prayer book","A comprehensive Jain philosophical text by Umasvati","A meditation guide","A history of Tirthankaras",B,scriptures,medium,10
"How many 'Tattvas' (realities) are recognized in Jainism?","5","7","9","12",C,philosophy,medium,10
"What is 'Jiva' in Jain philosophy?","Body","Soul or living being","God","Universe",B,philosophy,medium,10
"What is 'Ajiva' in Jain philosophy?","Living being","Non-living matter","God","Heaven",B,philosophy,medium,10
"What is 'Asrava' in Jain philosophy?","Liberation","Influx of karmic matter into the soul","Prayer","Meditation",B,philosophy,hard,10
"What is 'Samvara' in Jain philosophy?","Influx of karma","Stoppage of karmic influx","Bondage","Liberation",B,philosophy,hard,10
"What is 'Nirjara' in Jain philosophy?","Bondage of karma","Shedding of karmic matter","Influx of karma","Stoppage of karma",B,philosophy,hard,10
"What is 'Bandha' in Jain philosophy?","Liberation","Meditation","Bondage of karma to the soul","Non-violence",C,philosophy,hard,10
